Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1961","1961","kg/ha","492.6","E","Estimated value",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1962","1962","kg/ha","604.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1963","1963","kg/ha","475.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1964","1964","kg/ha","440","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1965","1965","kg/ha","425.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1966","1966","kg/ha","530.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1967","1967","kg/ha","494.5","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1968","1968","kg/ha","577.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1969","1969","kg/ha","871.2","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1970","1970","kg/ha","1213.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1971","1971","kg/ha","1213.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1972","1972","kg/ha","1111.5","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1973","1973","kg/ha","1117.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1974","1974","kg/ha","1177.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1975","1975","kg/ha","1233.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1976","1976","kg/ha","829.1","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1977","1977","kg/ha","994.2","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1978","1978","kg/ha","1171.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1979","1979","kg/ha","1163.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1980","1980","kg/ha","920.8","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1981","1981","kg/ha","988","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1982","1982","kg/ha","861.5","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1983","1983","kg/ha","669.1","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1984","1984","kg/ha","929.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1985","1985","kg/ha","906.1","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1986","1986","kg/ha","645.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1987","1987","kg/ha","765.2","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1988","1988","kg/ha","1109.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1989","1989","kg/ha","1073.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1990","1990","kg/ha","965.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1991","1991","kg/ha","906","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1992","1992","kg/ha","1014","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1993","1993","kg/ha","1159.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1994","1994","kg/ha","930.6","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1995","1995","kg/ha","855.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1996","1996","kg/ha","940.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1997","1997","kg/ha","1067.6","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1998","1998","kg/ha","867.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","1999","1999","kg/ha","1197.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2000","2000","kg/ha","1202","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2001","2001","kg/ha","1307.1","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2002","2002","kg/ha","1265.2","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2003","2003","kg/ha","1272.8","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2004","2004","kg/ha","1092","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2005","2005","kg/ha","1157.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2006","2006","kg/ha","1155.1","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2007","2007","kg/ha","1166.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2008","2008","kg/ha","1192.2","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2009","2009","kg/ha","1255.9","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2010","2010","kg/ha","1193.7","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2011","2011","kg/ha","1245.3","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2012","2012","kg/ha","1191.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2013","2013","kg/ha","924.4","A","Official figure",""
"QCL","Crops and livestock products","768","Togo","5412","Yield","56","Maize (corn)","2014","2014","kg/ha","1195.9","A","Official figure",""
